attribute_id	attribute_name																																																		
a39_disability_physical	Physical disability	5	2	3	4	5	5	3	3	5	5	1	2	2	3	1	4	2	5	4	5	4	3	1	3	5	1	3	4	5	4	5	3	2	5	3	5	3	3	2	5	4	1	4	4	2	3	4	2	1	3
a41_injury	Medical Treatment	4	2	3	5	4	5	3	2	5	5	4	2	2	3	1	4	3	5	4	5	4	5	3	4	5	1	2	4	5	2	5	2	3	5	4	5	5	2	3	5	3	1	5	5	1	2	4	3	3	4
a43_medicine	Medical History	4	2	4	5	3	5	4	4	4	5	5	4	4	4	1	4	3	5	5	5	4	5	5	4	5	5	3	5	5	4	5	5	4	5	3	5	5	4	3	5	5	1	5	1	2	2	5	3	4	5
a46_occupation	Occupation	4	3	3	4	2	5	3	1	1	1	1	3	3	2	1	1	3	1	3	4	3	1	1	3	4	1	3	3	4	2	3	3	2	3	3	1	1	2	2	5	1	1	2	1	2	2	3	2	1	2
a48_occassion_work	Work Occassion	5	3	3	4	4	5	3	4	2	2	2	1	3	1	1	3	2	3	5	2	3	1	3	3	4	4	4	3	5	2	3	4	3	4	4	5	1	3	2	3	1	1	2	2	2	1	3	3	1	3
a49_phone	Phone no.	5	2	4	5	4	5	4	5	3	5	5	5	5	4	1	5	3	5	5	5	4	5	4	4	5	5	3	2	5	4	5	5	4	5	5	5	5	5	3	5	4	1	4	1	1	1	5	3	5	5
a55_religion	Religion	5	2	3	4	2	5	2	3	4	2	3	2	1	3	1	2	3	2	1	4	3	1	1	3	2	1	4	3	3	2	3	2	2	3	1	5	1	1	3	2	1	1	2	4	3	2	3	4	1	4
a56_sexual_orientation	Sexual Orientation	4	2	4	3	4	5	4	1	2	2	1	1	1	4	1	2	3	2	2	5	3	1	1	4	5	1	4	2	3	2	2	5	2	5	2	5	1	1	4	5	1	1	3	1	1	2	4	3	1	3
a57_culture	Culture	3	3	4	3	2	5	3	2	4	3	2	1	2	1	1	2	3	2	3	4	2	1	1	3	3	1	1	3	3	2	2	2	2	2	1	5	1	1	2	4	1	1	2	2	2	2	3	3	1	2
a58_hobbies	Hobbies	2	2	4	2	4	5	2	1	1	2	1	1	3	2	1	1	2	1	2	2	1	1	1	2	2	1	5	3	2	1	2	5	2	1	1	5	1	1	1	5	1	1	2	2	3	3	2	3	1	2
a59_sports	Sports	2	2	3	3	4	5	1	3	2	3	1	1	2	1	1	1	2	1	3	3	2	1	1	2	2	1	4	3	2	2	2	3	2	1	1	5	1	1	3	3	1	1	2	2	1	3	2	2	1	1
a60_occassion_personal	Personal Occassion	3	2	4	3	4	5	3	4	3	3	1	1	3	2	1	2	2	2	5	3	3	3	4	3	2	3	3	3	5	1	2	4	4	4	4	5	1	4	4	4	1	1	2	2	3	1	2	3	1	3
a61_opinion_general	General Opinion	3	2	4	3	4	5	3	1	2	2	1	2	2	3	1	2	2	1	3	3	3	3	1	3	3	3	2	2	5	2	2	3	2	3	2	5	4	1	3	3	1	1	3	4	2	2	3	3	1	4
a62_opinion_political	Political Opinion	3	2	4	2	2	5	2	2	3	3	4	2	2	2	1	2	2	2	3	4	3	3	1	3	2	3	2	2	4	1	2	3	3	3	2	5	4	2	4	4	3	1	2	1	2	3	3	3	1	4
